No. Controle;Total da Verba;Solicitação;Status;Erros
MKT531_2019;R$ 27.648,40;3549;Solicitação criada com sucesso;
MKT617_2019;R$ 8.963,00;3546;Solicitação criada com sucesso;
MKT628_2019 A;R$ 12.114,95;3545;Solicitação criada com sucesso;
MKT629_2019 A;R$ 6.902,30;3547;Solicitação criada com sucesso;
MKT673_2019;R$ 4.000,00;3544;Solicitação criada com sucesso;
MKT680_2019;R$ 6.255,00;3548;Solicitação criada com sucesso;
MKT703_2019;R$ 237,05;3550;Solicitação criada com sucesso;
MKT716_2019;R$ 983,10;3551;Solicitação criada com sucesso;
MKT718_2019;R$ 1.575,59;3552;Solicitação criada com sucesso;
MKT727_2019;R$ 7.953,60;3553;Solicitação criada com sucesso;
MKT728_2019;R$ 7.953,60;3554;Solicitação criada com sucesso;
MKT729_2019;R$ 12.129,30;3555;Solicitação criada com sucesso;
MKT731_2019;R$ 16.125,50;3556;Solicitação criada com sucesso;
MKT732_2019;R$ 16.125,50;3558;Solicitação criada com sucesso;
MKT733_2019;R$ 16.125,50;3557;Solicitação criada com sucesso;
MKT734_2019;R$ 11.191,80;3559;Solicitação criada com sucesso;
MKT750_2019;R$ 3.124,40;3560;Solicitação criada com sucesso;
MKT751_2019;R$ 3.124,40;3561;Solicitação criada com sucesso;
MKT752_2019;R$ 9.170,50;3562;Solicitação criada com sucesso;
MKT753_2019;R$ 3.124,40;3563;Solicitação criada com sucesso;
MKT756_2019;R$ 415,32;3564;Solicitação criada com sucesso;
MK784_2019;R$ 520,20;3565;Solicitação criada com sucesso;
MKT792_2019;R$ 34,46;3566;Solicitação criada com sucesso;
MKT793_2019;R$ 137,84;3567;Solicitação criada com sucesso;
MKT795_2019;R$ 893,20;3569;Solicitação criada com sucesso;
MKT796_2019;R$ 2.721,70;3568;Solicitação criada com sucesso;
MKT798_2019;R$ 872,05;3572;Solicitação criada com sucesso;
2020.04;R$ 6.264,59;3571;Solicitação criada com sucesso;
2020.10;R$ 1.785,92;3570;Solicitação criada com sucesso;
2020.15;R$ 3.913,01;3573;Solicitação criada com sucesso;
2020.17;R$ 1.857,11;3574;Solicitação criada com sucesso;
2020.22;R$ 142,20;3575;Solicitação criada com sucesso;
2020.26;R$ 8.106,00;3576;Solicitação criada com sucesso;
2020.29;R$ 22.694,90;3578;Solicitação criada com sucesso;
2020.60;R$ 375,00;3577;Solicitação criada com sucesso;
2020.68;R$ 22.002,00;3579;Solicitação criada com sucesso;
2020.69;R$ 22.002,00;3580;Solicitação criada com sucesso;
2020.70;R$ 1.500,00;3581;Solicitação criada com sucesso;
2020.81;R$ 14.000,00;3582;Solicitação criada com sucesso;
2020.95;R$ 1.735,00;3585;Solicitação criada com sucesso;
2.020.152;R$ 5.463,50;3583;Solicitação criada com sucesso;
2.020.153;R$ 1.223,10;3584;Solicitação criada com sucesso;
2.020.154;R$ 1.527,00;3586;Solicitação criada com sucesso;
2.020.155;R$ 1.527,00;3587;Solicitação criada com sucesso;
2.020.156;R$ 611,55;3588;Solicitação criada com sucesso;
2.020.157;R$ 1.527,00;3590;Solicitação criada com sucesso;
2.020.160;R$ 993,45;3589;Solicitação criada com sucesso;
2.020.162;R$ 993,45;3591;Solicitação criada com sucesso;
2.020.163;R$ 1.335,60;3592;Solicitação criada com sucesso;
2.020.164;R$ 667,80;3593;Solicitação criada com sucesso;
2.020.167;R$ 1.202,70;3594;Solicitação criada com sucesso;
2.020.170;R$ 73.500,00;3595;Solicitação criada com sucesso;
2.020.179;R$ 33.600,00;3596;Solicitação criada com sucesso;
