																		S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
	date	dataset	dataset	dataset		dataset	date	date						percentage	percentage	percentage	percentage	dataset	currency	currency	percentage	currency	currency	percentage	currency	number	currency	currency	dataset	currency	currency	percentage	currency	currency	percentage	currency	number	currency	currency		currency	number	percentage	currency	currency		currency	number	percentage	currency	currency	dataset	currency	number	currency		currency	percentage	number	currency	currency			date	date	percentage	currency			number	percentage	currency
	fullDate	Usuarios|colleagueId|solicitante|solicitanteNome=colleagueName	Clientes|codigo|cliente|clienteNome=razaoSocial	Executivos|codigo|executivo|executivoNome=nome		TiposAcao|tipoAcaoCodigo|tipoAcao|tipoAcaoDescricao=displaykey	fullDate	fullDate						2	2	2	2	Itens|codigo|itemSellout_item|itemSellout_itemDescricao=descricao,itemSellout_categoria=categoria,itemSellout_ccusto=ccusto	R$	R$	2	R$	R$	2	R$	2	R$	R$	Itens|codigo|itemSellinIt_item|itemSellinIt_itemDescricao=descricao,itemSellinIt_categoria=categoria,itemSellinIt_ccusto=ccusto	R$	R$	2	R$	R$	2	R$	2	R$	R$		R$	2	2	R$	R$		R$	2	2	R$	R$	Itens|codigo|itemSpiffIt_item|itemSpiffIt_itemDescricao=descricao,itemSpiffIt_categoria=categoria,itemSpiffIt_ccusto=ccusto	R$	2	R$		R$	2	2	R$	R$			fullDate	fullDate	2	R$			2	2	R$
numControle	dataAbertura	solicitanteCodigo	clienteCodigo	executivoCodigo	nomeAcao	tipoAcaoCodigo	inicioAcao	terminoAcao	tipoQuantidade	tipoSellin	tipoSpiff	tipoVpc	descricaoDetalhada	rateio_perc___1	rateio_perc___2	rateio_perc___3	rateio_perc___4	itemSellout_itemCodigo	itemSellout_srpInicial	itemSellout_netInicial	itemSellout_gpInicial	itemSellout_srpSugerido	itemSellout_netSugerido	itemSellout_gpSugerido	itemSellout_rebateUnit	itemSellout_qtde	itemSellout_rebateTotal	itemSellout_dolar	itemSellinIt_itemCodigo	itemSellinIt_srpInicial	itemSellinIt_netInicial	itemSellinIt_gpInicial	itemSellinIt_srpSugerido	itemSellinIt_netSugerido	itemSellinIt_gpSugerido	itemSellinIt_rebateUnit	itemSellinIt_qtde	itemSellinIt_rebateTotal	itemSellinIt_dolar	itemSellinTg_descricao	itemSellinTg_target	itemSellinTg_qtde	itemSellinTg_perc	itemSellinTg_vlTarget	itemSellinTg_vlTotal	itemSellinTgAc_descricao	itemSellinTgAc_target	itemSellinTgAc_qtde	itemSellinTgAc_perc	itemSellinTgAc_vlTarget	itemSellinTgAc_vlTotal	itemSpiffIt_itemCodigo	itemSpiffIt_spiffUnit	itemSpiffIt_qtde	itemSpiffIt_vlTotal	itemSpiffTg_foco	itemSpiffTg_target	itemSpiffTg_perc	itemSpiffTg_qtde	itemSpiffTg_vlUnit	itemSpiffTg_vlTotal	itemVpcEvt_nomeEvento	itemVpcEvt_finalidade	itemVpcEvt_inicio	itemVpcEvt_termino	itemVpcEvt_perc	itemVpcEvt_vlTotal	itemVpcOutros_tipo	itemVpcOutros_finalidade	itemVpcOutros_qtde	itemVpcOutros_perc	itemVpcOutros_vlTotal
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20	0.975	0.025			ADS2200							58.15	15	872.25	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					ADS2800W							236.58	15	3548.7	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					ADS1250W							46.76	20	935.2	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					ADS1700W							83.49	20	1669.8	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					DCPL5652DN							158.71	20	3174.2	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					HLL5102DW							70.36	20	1407.2	5.2																																												
2020.607	30/03/2020	rugeda	192	8	REBATE NO SELL-OUT -AÇÃO ABRIL/20	sellout	01/04/2020	30/04/2020	estimada				REBATE NO SELL-OUT -AÇÃO ABRIL/20					DCPL2540DW							91.88	300	27564.00	5.2																																												
